5,5,5,5,5,5,5,,0.14
5,300,5,5,5,5,5,,
5,5,5,5,5,5,5,,
5,5,5,5,5,5,5,,
5,5,5,5,5,5,5,,
,,,,,,,,
5,5,5,5,5,5,5,,
5,5,5,5,5,5,5,,
5,5,5,5,5,5,5,,
5,5,5,5,5,5,5,,
300,300,5,5,5,5,5,,
,,,,,,,,
5,5,5,5,5,5,5,,
5,5,5,5,5,5,5,,
5,5,5,5,5,5,5,,
5,5,5,5,5,5,5,,
300,300,5,5,5,5,5,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
5,46.3,5,5,5,5,5,,
46.3,300,46.3,5,5,5,5,,
5,46.3,5,5,5,5,5,,
5,5,5,5,5,5,5,,
46.3,46.3,5,5,5,5,5,,
,,,,,,,,
5,5,5,5,5,5,5,,
5,46.3,5,5,5,5,5,,
5,5,5,5,5,5,5,,
46.3,46.3,5,5,5,5,5,,
300,300,46.3,5,5,5,5,,
,,,,,,,,
5,5,5,5,5,5,5,,
5,5,5,5,5,5,5,,
5,5,5,5,5,5,5,,
46.3,46.3,5,5,5,5,5,,
300,300,46.3,5,5,5,5,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
16.564,64.472,16.564,5,5,5,5,,
64.472,300,58.69,10.782,5,5,5,,
16.564,58.69,16.564,5,5,5,5,,
16.564,22.346,5,5,5,5,5,,
76.036,70.254,16.564,5,5,5,5,,
,,,,,,,,
5,16.564,5,5,5,5,5,,
16.564,52.908,16.564,5,5,5,5,,
10.782,22.346,5,5,5,5,5,,
70.254,64.472,16.564,5,5,5,5,,
300,300,70.254,10.782,5,5,5,,
,,,,,,,,
5,5,5,5,5,5,5,,
5,10.782,5,5,5,5,5,,
10.782,10.782,5,5,5,5,5,,
76.036,70.254,16.564,5,5,5,5,,
300,300,70.254,10.782,5,5,5,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
28.35928,77.32456,25.93084,7.42844,5,5,5,,
77.32456,300,68.07336,14.2512,5.80948,5,5,,
28.35928,70.5018,23.5024,7.42844,5,5,5,,
33.21616,36.801,12.28532,5,5,5,5,,
98.2554,89.0042,28.35928,7.42844,5,5,5,,
,,,,,,,,
9.85688,23.5024,9.85688,5,5,5,5,,
24.31188,62.06008,21.07396,7.42844,5,5,5,,
22.346,31.94412,12.28532,5,5,5,5,,
86.57576,80.56248,25.93084,7.42844,5,5,5,,
300,300,86.57576,17.48912,5.80948,5,5,,
,,,,,,,,
5,7.42844,5,5,5,5,5,,
8.23792,14.2512,7.42844,5,5,5,5,,
19.10808,19.91756,7.42844,5,5,5,5,,
96.63644,86.57576,28.35928,7.42844,5,5,5,,
300,300,86.57576,17.48912,5.80948,5,5,,